elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,source
507.118,394.543,99.632,494.175,zip
556.43,390.128,139.331,529.459,zip
678.378,521.754,136.458,658.212,zip
594.025,434.96,143.656,578.616,zip
578.323,432.432,132.132,564.564,zip
409.945,273.079,122.687,395.766,zip
498.928,350.488,127.45,477.938,zip
493.168,367.798,98.87,466.668,zip
658.545,510.577,132.669,643.246,zip
598.278,413.049,152.387,565.436,zip
515.257,374.753,127.575,502.328,zip
576.058,410.816,142.205,553.021,zip
644.08,476.621,145.743,622.364,zip
440.306,322.028,99.391,421.419,zip
669.385,481.361,155.149,636.51,zip
433.34,309.149,107.013,416.162,zip
492.069,381.163,92.281,473.444,zip
639.57,439.713,168.818,608.531,zip
545.528,393.917,124.606,518.523,zip
562.101,447.528,95.899,543.427,zip
439.954,318.152,108.735,426.887,zip
577.315,416.016,144.005,560.021,zip
405.322,269.793,111.091,380.884,zip
488.964,382.966,95.741,478.707,zip
545.926,392.62,136.215,528.835,zip
595.881,437.469,136.458,573.927,zip
516.79,383.704,119.907,503.611,zip
530.495,339.653,177.725,517.378,zip
604.821,473.076,109.171,582.247,zip
440.419,305.189,122.868,428.057,zip
553.879,400.122,144.044,544.166,zip
449.433,322.47,116.895,439.365,zip
515.017,383.867,111.961,495.828,zip
558.173,395.131,126.441,521.572,zip
676.405,512.924,136.245,649.169,zip
457.026,312.429,132.181,444.61,zip
553.589,363.994,169.863,533.857,zip
544.354,392.721,134.874,527.595,zip
769.825,617.158,131.395,748.553,zip
580.661,429.859,124.538,554.397,zip
427.619,297.359,75.331,372.69,zip
567.297,383.691,140.948,524.639,zip
541.246,359.529,154.084,513.613,zip
712.979,496.544,196.215,692.759,zip
512.214,417.769,84.357,502.126,zip
460.208,347.821,99.948,447.769,zip
534.653,392.408,132.137,524.545,zip
450.659,342.341,89.66,432.001,zip
554.419,349.303,188.704,538.007,zip
598.904,430.464,155.445,585.909,zip
646.01,449.483,181.37,630.853,zip
470.859,336.438,120.156,456.594,zip
402.226,300.827,91.039,391.866,zip
450.913,324.013,106.687,430.7,zip
505.127,332.695,154.175,486.87,zip
508.536,398.391,97.565,495.956,zip
574.401,425.786,127.338,553.124,zip
541.849,390.013,136.705,526.718,zip
406.099,305.682,85.591,391.273,zip
512.049,333.79,158.947,492.737,zip
450.426,348.613,88.155,436.768,zip
525.387,378.491,120.795,499.286,zip
434.373,292.442,120.182,412.624,zip
296.104,229.41,56.346,285.756,zip
465.76,354.05,99.452,453.502,zip
470.582,347.07,107.711,454.781,zip
524.059,383.794,119.935,503.729,zip
315.55,243.057,59.768,302.825,zip
504.372,361.382,119.137,480.519,zip
500.988,393.879,80.383,474.262,zip
561.945,397.821,148.68,546.501,zip
529.806,379.181,131.715,510.896,zip
421.967,313.466,83.326,396.792,zip
